játék	s Spiel -e
gyerekek számára	für Kinder
különösen jó	besonders gut
izgalmas	spannend
játékötlet	e Spielidee -n
szabadidős tevékenység	e Freizetbeschäftigung -en
játéktábla	r Spielplan ⸚e
választani	wählen
eredeti	originell
az év játéka	Spiel des jahres
rajz	e Zeichnung -en
megérdemelni	verdienen
zsűri	e Jury -s
jelölni	markieren
grafikus	grafisch
elem	s Element -e
indoklás	e Begründung -en
vicces	witzig
ideális	ideal
zaj	s Geräusch -e
2-4 év között	zwischen 2 und 4 Jahren
megfogni	anfassen
ajánlatos	empfehlenswert
áldozat	s Opfer -
krimi	r Krimi -s
szegény	arm
ellentét	s Gegenteil -e
gonosz	böse
bizonyítani	beweisen
valódi	echt
maga	selbst
tettes	r Täter -
megengedett	erlaubt
kérdést tenni fel	Fragen stellen
szórakoztató	amüsant
végül	endlich
nevetni	lachen
leglehetetlenebb	die unmöglichsten
garantálni	garantieren
legbolondabb	die verrücktesten
magyarázat	e Erklärung -en
forma	e Form -en
az első díj	der erste Preis
feszültség	e Spannung -en
szórakozás	r Spaß ⸚e
