hullám	e Welle -n
lazulni/henyélni	entspannen/chillen
lélegezni	atmen
bőr	e Haut ⸚e
illat	r Duft ⸚e
kiáltozás/zaj	s Geschrei
ég	r Himmel -
só	s Salz -e
utiláz	s Reisefieber
láz	s Fieber -
nyaralás	r Urlaub -e
nyugalom	e Ruhe
kastély	s Schloss ⸚er
lehetőség	e Möglichkeit -en
piac	r Markt ⸚e
vásárolni	shoppen/kaufen
homok	r Sand -e
naplemente	r Sonnenuntergang ⸚e
napfelkelte	r Sonnenaufgang ⸚e
finom	lecker
sirály	e Möwe -n
érinteni	berühren
érintetlen	unberührt
a kedvesed	dein/e Liebste/r -n
természet	e Natur -en
útikönyv	r Reiseführer -
idegenvezető	r/e Reiseleiter/in -/nen
belemerülni vmibe	eintauchen
kipihent	entspannt
nyaraló-típus	r Urlaubstyp -en
lazítani	entspannen
tól ig	von bis
honfitársak	e Landsleute
üdülőhely	r Urlaubsort -e
egyedüli	eigene
repülés	r Flug ⸚e
évente	jährlich
társasági ember	Gruppenmensch
üres	leer
divatos	trendig
kapcsolatba kerülni	ins Kontakt kommen
ismeretlen	unbekannt
bár	e Bar -s
csinálni vmit	etwas unternehmen
reggelente	morgens
pénzt kiadni	Geld ausgeben
jelenteni	bedeuten
hálózsák	r Schlafsack ⸚e
kultúra	e Kultur -en
praktikus	praktisch
iPod	r iPod -s
túracipő	r Wanderschuh -e
felszállás	r Abflug ⸚e
passzolni vmihez	zu etwas passen
minimum	wenigstens/mindestens
útitárs	r/e Reisepartner/in -/nen
meleg van	es ist heiß
cél	s Ziel -e
kényelmes	bequem
süt a nap	die Sonne scheint
foglalni	buchen
személyzet	s Hotelpersonal
alkalmi ár	r Schnäppchenpreis -e
a strandon	an dem Strand
kínálat	s Angebot -e
kíváncsi	neugierig
teljesen	echt/ganz/absolut
a nyaraláson	an dem Urlaub
szereti, ha er mag es, wenn
országra jellemző	landestypisch
nyaraló	r/e Urlauber/in -/nen
híres	berühmt
vele van vmi	hat etwas mit
problémamentes	problemlos
kellemes/otthonos	gemütlich
csomag	s Gepäck
elég	genug
tablet	s Tablet -s
naptej	e Sonnencreme -n
közvetlen járat	r Direktflug ⸚
megszállni vhol	übernachten
szervező	r/e Organisator/in -/nen
öröm	e Freude -n
sikítani	schreien
napló	s Tagebuch ⸚er
részben	teilweise
egyetlen	einzige
einige	néhány
