vmire gondolni	denken an + A
ebben az évben	in diesem Jahr
lelkes	begeistert
célba érni	ins Ziel schäffen
emlékszik vmire	s. erinnern an + A
állami ünnep	r Staatsfeiertag
éjszaka a tónál fesztivál	Seenachtfest
vitorlázó	r Segler
tényleg	
blogolni	bloggen
megnézni	zusehen
keresztüljutni	durchkommen
ünnep	r Feiertag
két évvel ezelőtt	vor zwei Jahren
lényeg	e Hauptsache
számomra	für mich
blogot írni témához	bloggen zum + D
vitorlázni menni	Segeln gehen
fénypont	Highlight
minden évben	jedes Jahr
örülni vminek	s. freuen über + A
végre	endlich
ünnepi játékok	Festspiele
csodásan nyugodt	herrlich ruhig
előny Vorteil
hátrány	Nachteil
évek múltán	nach Jahren
határ	e Grenze -n
énekes	r Sänger -in
tavasz lesz	es wird Frohling
részben	teilweise/zum Teil
kevésbé	weniger
turisztikai térség	Tourismusregion
előszőr	zum ersten Mal
szerző	r Autor -in
14 fokos a víz	das Wasser hat 14 Grad
a jövő év	das nächste Jahr
