foglalni vmikorra	buchen für
üdvözlettel	mit Grüßen
telefonbeszélgetés	s Telefongespräch
az első emeleten	im ersten Stock
egy héttel ezelőtt	vor einer Woche
közvetlenül a tónál	direkt am See
svédasztalos reggeli	Frühstücksbüffet
hiányos	mangelhaft
ha lehetséges	wenn möglich
kijelentkezni	auschecken
szívesen csinálna vmit	jemand würde etwas unterhalten
ár-érték arány	 Preis-Leistung-Verhältnis
viszony	Verhältnis
utánanézni vminek	nachschauen
megváltoztatni	ändern
magától értetődő	selbstverständlich
sajnálom	es tut mir Leid
erkély	Balkon
egyágyas szoba	s Einzelzimmer
értékelés	r Wert -e
szeretne vmit	jemand hätte etwas gern
október 19-én	am 19. Oktober
elindulni	abfahren
kilátással vmire	mit Blick auf etwas
utolsó	letzte
teljes ellátással	Vollpension
zuhany	e Dusche
fürdőkád	e Badewanne
kétágyas szoba	s Doppelzimmer
a földszinten	im Erdgeschoss
elégedett	zufrieden
elégedetlen	unzufrieden
egyetlen	einzige
fogadtatás	r Empfang -ä-e
profi/hivatásos	professionell
rendben van	etwas stimmt
parányi	winzig
(ott)tartózkodás	r Aufenthalt -e
tiszta	sauber
éjszakázás	e Übernachtung -en
azonnal/rögtön	sofort
kár	schade
semmittenni	nichts machen
heverő	s Sofa
tisztelt	geehrt
szívesen látott	willkommen
kutyaszőr	e Hundehaare
pillanat	Moment
már csak	nur noch
összefoglalni	zusammen fassen
