# [crablit]
# delim = ';'

# Bedeutung auf Ungarisch     ; Infinitiv, E/3, Präteritum, Perfekt 
elfogad                       ; akzeptieren, akzeptiert, akzeptierte, hat akzeptiert 
változtat v-t, v-n            ; ändern, ändert, änderte, hat geändert 
változik                      ; s. ändern, ändert s., änderte s., hat s. geändert 
felel/válaszol                ; antworten, antwortet, antwortete, hat geantwortet 
bosszankodik                  ; s. ärgern, ärgert s., ärgerte s., hat s. geärgert 
lélegzik                      ; atmen, atmet, atmete, hat geatmet 
fürdik                        ; baden, badet, badete, hat gebadet 
épít                          ; bauen, baut, baute, hat gebaut 
kérvényez                     ; beantragen, beantragt, beantragte, hat beantragt 
megköszön                     ; s. bedanken, bedankt s., bedankte s., hat s. bedankt 
jelent, jelentéssel bír       ; bedeuten, bedeutet, bedeutete, hat bedeutet 
siet                          ; s. beeilen, beeilt s., beeilte s., hat s. beeilt 
befejez                       ; beenden, beendet, beendete, hat beendet 
köszönt                       ; begrüßen, begrüßt, begrüßte, hat begrüßt 
kap                           ; bekommen, bekommt, bekam, hat bekommen 
viselkedik                    ; s. behehmen, benimmt s., benahm s., hat s. benommen 
használ                       ; benutzen, benutzt, benutzte, hat benutzt 
kiszámol                      ; berechnen, berechnet, berechnete, hat berechnet 
leír, ábrázol, jellemez       ; beschreiben, beschreibt, beschrieb, hat beschrieben 
panaszkodik                   ; s. beschweren, beschwer s., beschwerte s., hat s. beschwert 
megtekint                     ; bes., bes., bes., hat bes. 
megbeszél                     ; besprechen, bespricht, besprach, hat besprochen 
rendel                        ; bestellen, bestellt, bestellte, hat bestellt 
meglátogat                    ; besuchen, besucht, besuchte, hat besucht 
felügyel v-t                  ; bewachen, bewacht, bewachte, hat bewacht 
mozog                         ; s. bewegen, bewegt s., bewegte s., hat s. bewegt 
bizonyít                      ; beweisen, beweist, bewies, hat bewiesen 
értékel, becsül               ; bewerten, bewertet, bewertete, hat bewertet 
kifizet                       ; bezahlen, bezahlt, bezahlte, hat bezahlt 
kínál                         ; anbieten, bietet an, bot an, hat angeboten 
beköt                         ; zubinden, bindet zu, band zu, hat zugebunden 
kér                           ; bitten, bittet, bat, hat gebeten 
kér                           ; bitten, bittet, bat, hat gebeten 
marad                         ; bleiben, bleibt, blieb, ist geblieben 
megmarad                      ; übrigbleiben, bleibt übrig, blieb übrig, ist übriggeblieben 
blogol                        ; bloggen, bloggt, bloggte, hat gebloggt 
bokszol                       ; boxen, boxt, boxte, hat geboxt 
szüksége van v-re             ; brauchen, braucht, brauchte, hat gebraucht 
hoz, visz                     ; bringen, bringt, brachte, hat gebracht 
lefoglal                      ; buchen, bucht, buchte, hat gebucht 
beszélget                     ; chatten, chattet, chattete, hat gechattet 
kijelentkezik                 ; auschecken, checkt aus, checkte aus, hat ausgecheckt 
bejelentkezik                 ; einchecken, checkt ein, checkte ein, hat eingecheckt 
pihen, lazít                  ; chillen, chillt, chillte, hat gechillt 
lehet (módbeli segédige)      ; dürfen, darf, durfte, hat gedurft 
gondol                        ; denken, denkt, dachte, hat gedacht 
gondol                        ; denken, denkt, dachte, hat gedacht 
utánagondol                   ; nachdenken, denkt nach, dachte nach, hat nachgedacht 
megvitat                      ; diskutieren, diskutiert, diskutierte, hat diskutiert 
dokumentál                    ; dokumentieren, dokumentiert, dokumentierte, hat dokumentiert 
kifejez                       ; ausdrücken, drückt aus, drückte aus, hat ausgedrückt 
zuhanyozik                    ; s. duschen, duscht s., duschte s., hat s. geduscht 
tegez                         ; duzen, duzt, duzte, hat geduzt 
megegyezik                    ; s. einigen, einingt s., einigte s., hat s. geeinigt 
ajánl                         ; empfehlen, empfiehlt, empfahl, hat empfohlen 
igyekszik                     ; s. engagieren, engagiert s., engagierte s., hat s. engagiert 
eldönt                        ; entscheiden, entscheidet, entschied, hat entschieden 
megbocsát                     ; entschuldigen, entschuldigt, entschuldigte, hat entschuldigt 
bocsánatot kér                ; s. entschuldigen, entschuldigt s., entschuldigte s., hat s. entschuldigt 
pihen                         ; s. entspannen, entspannt s., entspannte s., hat s. entspannt 
keletkezik                    ; entstehen, entsteht, entstand, ist entstanden 
fejleszt                      ; entwickeln, entwickt, entwickelte, hat entwickelt 
emlékezik                     ; s. erinnern, erinnert s., erinnerte s., hat s. erinnert 
felismer                      ; erkennen, erkennt, erkannte, hat erkannt 
elismer                       ; anerkennen, erkennt an, erkannte an, hat anerkannt 
elmagyaráz                    ; erklären, erklärt, erklärte, hat erklärt 
megél, átél                   ; erleben, erlebt, erlebte, hat erlebt 
elér                          ; erreichen, erreicht, erreichte, hat erreicht 
elmesél                       ; erzählen, erzählt, erzählte, hat erzählt 
elindul                       ; abfahren, fährt ab, fuhr ab, ist abgefahren 
autóval utazik, megy          ; Auto fahren, fährt Auto, fuhr Auto, ist Auto gefahren 
odautazik                     ; hinfahren, fährt hin, fuhr hin, ist/hat hingefahren 
