# [crablit]
# mode = "verbs"
# delim = '	'

# Infinitiv	E/3	Präteritum	Perfekt	Jelentés	Egyéb
akzeptieren	akzeptiert	akzeptierte	hat akzeptiert	elfogad	
ändern	ändert	änderte	hat geändert	változtat v-t, v-n	
sich ändern	ändert sich	änderte sich	hat sich geändert	változik	
antworten	antwortet	antwortete	hat geantwortet	felel/válaszol	
sich ärgern	ärgert sich	ärgerte sich	hat sich geärgert	bosszankodik	(über+A)
atmen	atmet	atmete	hat geatmet	lélegzik	
baden	badet	badete	hat gebadet	fürdik	
bauen	baut	baute	hat gebaut	épít	
beantragen	beantragt	beantragte	hat beantragt	kérvényez	
sich bedanken	bedankt sich	bedankte sich	hat sich bedankt	megköszön	akinek: bei+D, amit für+A
bedeuten	bedeutet	bedeutete	hat bedeutet	jelent, jelentéssel bír	
sich beeilen	beeilt sich	beeilte sich	hat sich beeilt	siet	
beenden	beendet	beendete	hat beendet	befejez	
begrüßen	begrüßt	begrüßte	hat begrüßt	köszönt	
bekommen	bekommt	bekam	hat bekommen	kap	
sich behehmen	benimmt sich	benahm sich	hat sich benommen	viselkedik	
benutzen	benutzt	benutzte	hat benutzt	használ	
berechnen	berechnet	berechnete	hat berechnet	kiszámol	
beschreiben	beschreibt	beschrieb	hat beschrieben	leír, ábrázol, jellemez	
sich beschweren	beschwer sich	beschwerte sich	hat sich beschwert	panaszkodik	Dativ, bei + D
besichtigen	besichtigt	besichtigte	hat besichtigt	megtekint	
besprechen	bespricht	besprach	hat besprochen	megbeszél	
bestellen	bestellt	bestellte	hat bestellt	rendel	
besuchen	besucht	besuchte	hat besucht	meglátogat	
bewachen	bewacht	bewachte	hat bewacht	felügyel v-t	
sich bewegen	bewegt sich	bewegte sich	hat sich bewegt	mozog	
beweisen	beweist	bewies	hat bewiesen	bizonyít	
bewerten	bewertet	bewertete	hat bewertet	értékel, becsül	
bezahlen	bezahlt	bezahlte	hat bezahlt	kifizet	
anbieten	bietet an	bot an	hat angeboten	kínál	Dativ, Akkusativ
zubinden	bindet zu	band zu	hat zugebunden	beköt	
bitten	bittet	bat	hat gebeten	kér	akitől: + Akk, amit: um+A
bitten	bittet	bat	hat gebeten	kér	
bleiben	bleibt	blieb	ist geblieben	marad	
übrigbleiben	bleibt übrig	blieb übrig	ist übriggeblieben	megmarad	
bloggen	bloggt	bloggte	hat gebloggt	blogol	
boxen	boxt	boxte	hat geboxt	bokszol	
brauchen	braucht	brauchte	hat gebraucht	szüksége van v-re	
bringen	bringt	brachte	hat gebracht	hoz, visz	
buchen	bucht	buchte	hat gebucht	lefoglal	
chatten	chattet	chattete	hat gechattet	beszélget	
auschecken	checkt aus	checkte aus	hat ausgecheckt	kijelentkezik	
einchecken	checkt ein	checkte ein	hat eingecheckt	bejelentkezik	
chillen	chillt	chillte	hat gechillt	pihen, lazít	
dürfen	darf	durfte	hat gedurft	lehet (módbeli segédige)	
denken	denkt	dachte	hat gedacht	gondol	
denken	denkt	dachte	hat gedacht	gondol	an+A
nachdenken	denkt nach	dachte nach	hat nachgedacht	utánagondol	
diskutieren	diskutiert	diskutierte	hat diskutiert	megvitat	
dokumentieren	dokumentiert	dokumentierte	hat dokumentiert	dokumentál	
ausdrücken	drückt aus	drückte aus	hat ausgedrückt	kifejez	
sich duschen	duscht sich	duschte sich	hat sich geduscht	zuhanyozik	
duzen	duzt	duzte	hat geduzt	tegez	
sich einigen	einingt sich	einigte sich	hat sich geeinigt	megegyezik	
empfehlen	empfiehlt	empfahl	hat empfohlen	ajánl	
sich engagieren	engagiert sich	engagierte sich	hat sich engagiert	igyekszik	
entscheiden	entscheidet	entschied	hat entschieden	eldönt	
entschuldigen	entschuldigt	entschuldigte	hat entschuldigt	megbocsát	
sich entschuldigen	entschuldigt sich	entschuldigte sich	hat sich entschuldigt	bocsánatot kér	
sich entspannen	entspannt sich	entspannte sich	hat sich entspannt	pihen	
entstehen	entsteht	entstand	ist entstanden	keletkezik	
entwickeln	entwickt	entwickelte	hat entwickelt	fejleszt	
sich erinnern	erinnert sich	erinnerte sich	hat sich erinnert	emlékezik	an+A
erkennen	erkennt	erkannte	hat erkannt	felismer	(amiről: an+D)
anerkennen	erkennt an	erkannte an	hat anerkannt	elismer	
erklären	erklärt	erklärte	hat erklärt	elmagyaráz	
erleben	erlebt	erlebte	hat erlebt	megél, átél	
erreichen	erreicht	erreichte	hat erreicht	elér	
erzählen	erzählt	erzählte	hat erzählt	elmesél	
abfahren	fährt ab	fuhr ab	ist abgefahren	elindul	
Auto fahren	fährt Auto	fuhr Auto	ist Auto gefahren	autóval utazik, megy	de: er hat das Auto gefahren (autót vezet)
hinfahren	fährt hin	fuhr hin	ist/hat hingefahren	odautazik	
Inliner fahren	fährt Inliner	fuhr Inliner	ist Inliner gefahren	görkorcsolyázik	
losfahren	fährt los	fuhr los	ist losgefahren	elindul	
Skateboard fahren	fährt Skateboard	fuhr Skateboard	ist Skateboard gefahren	gördeszkázik	
weiterfahren	fährt weiter	fuhr weiter	ist weitergefahren	tovább halad	
hinunterfallen	fällt hinunter	fiel hinunter	ist hinuntergefallen	leesik	
fangen	fängt	fing	hat gefangen	elfog, megfog	
anfangen	fängt an	fing an	hat angefangen	elkezd	
anfassen	fasst an	fasste an	hat angefasst	megfog	
zusammenfassen	fasst zusammen	fasste zusammen	hat zusammengefasst	összefoglal	
fehlen	fehlt	fehlte	hat gefehlt	hiányzik	
feiern	feiert	feierte	hat gefeiert	ünnepel	
filmen	filmt	filmte	hat gefilmt	filmez	
finden	findet	fand	hat gefunden	talál	
stattfinden	findet statt	fand statt	hat stattgefunden	zajlik, van	
fliegen	fliegt	flog	ist geflogen	repül	
fliehen	flieht	floh	ist geflohen	szökik, menekül	
flüchten	flüchtet	flüchtete	ist geflüchtet	menekül, szökik	
fotografieren	fotografiert	fotografierte	hat fotografiert	fényképez	
fragen	fragt	fragte	hat gefragt	kérdez	
nachfragen	fragt nach	fragte nach	hat nachgefragt	kérdezősködik	
sich freuen	freut sich	freute sich	hat sich gefreut	örül	(most: über előre: auf)
frühstücken	frühstückt	frühstückte	hat gefrühstückt	reggelizik	
sich fühlen	fühlt sich	fühlte sich	hat sich gefühlt	érzi magát	
sich wohlfühlen	fühlt sich wohl	fühlte sich wohl	hat sich wohlgefühlt	jól érzi magát	
ausfüllen	füllt aus	füllte aus	hat ausgefüllt	kitölt	
füttern	füttert	fütterte	hat gefüttern	etet	
garantieren	garantiert	garantierte	hat garantiert	biztosít	
gebären	gebiert	gebar	hat geboren	szül	
gefallen	gefällt	gefiel	hat gefallen	tetszik	
gehören	gehört	gehörte	hat gehört	vmi valakié	das Auto gehört mir: Dativ
