Lecke;Infinitiv;E/3;Präteritum;Perfekt;Jelentés;Egyéb
17;bitten;bittet;bat;hat gebeten;kér;akitől: + Akk, amit: um+A
3;haben;hat;hatte;hat gehabt;birtokol;
1;sein;ist;war;ist gewesen;van;
4;kommen;kommt;kam;ist gekommen;jön;
6;liegen;liegt;lag;hat gelegen;fekszik;
4;lesen;liest;las;hat gelesen;olvas;
3;mögen;mag;mochte;hat gemocht;szeret, kedvel;
15;raten;rät;riet;hat geraten;tanácsot ad;
4;sehen;sieht;sah;hat gesehen;lát;
6;sitzen;sitzt;saß;hat gesessen;ül;
16;tun;tut;tat;hat getan;tesz, csinál;
11;üben;übt;übte;hat geübt;gyakorol;
