[learnit]
[mode: cards]
[delim: 	]

elfogad	akzeptieren
változtat v-t, v-n	ändern
változik	sich ändern
felel/válaszol	antworten
bosszankodik	sich ärgern
lélegzik	atmen
fürdik	baden
épít	bauen
kérvényez	beantragen
megköszön	sich bedanken
jelent, jelentéssel bír	bedeuten
siet	sich beeilen
befejez	beenden
köszönt	begrüßen
kap	bekommen
viselkedik	sich behehmen
használ	benutzen
kiszámol	berechnen
leír, ábrázol, jellemez	beschreiben
panaszkodik	sich beschweren
megtekint	besichtigen
megbeszél	besprechen
rendel	bestellen
meglátogat	besuchen
felügyel v-t	bewachen
mozog	sich bewegen
bizonyít	beweisen
értékel, becsül	bewerten
kifizet	bezahlen
kínál	anbieten
beköt	zubinden
kér	bitten
kér	bitten
marad	bleiben
megmarad	übrigbleiben
blogol	bloggen
bokszol	boxen
szüksége van v-re	brauchen
hoz, visz	bringen
lefoglal	buchen
beszélget	chatten
kijelentkezik	auschecken
bejelentkezik	einchecken
pihen, lazít	chillen
lehet (módbeli segédige)	dürfen
gondol	denken
gondol	denken
utánagondol	nachdenken
megvitat	diskutieren
dokumentál	dokumentieren
kifejez	ausdrücken
zuhanyozik	sich duschen
tegez	duzen
megegyezik	sich einigen
ajánl	empfehlen
igyekszik	sich engagieren
eldönt	entscheiden
megbocsát	entschuldigen
bocsánatot kér	sich entschuldigen
pihen	sich entspannen
keletkezik	entstehen
fejleszt	entwickeln
emlékezik	sich erinnern
felismer	erkennen
elismer	anerkennen
elmagyaráz	erklären
megél, átél	erleben
elér	erreichen
elmesél	erzählen
elindul	abfahren
autóval utazik, megy	Auto fahren
odautazik	hinfahren
görkorcsolyázik	Inliner fahren
elindul	losfahren
gördeszkázik	Skateboard fahren
tovább halad	weiterfahren
leesik	hinunterfallen
elfog, megfog	fangen
elkezd	anfangen
megfog	anfassen
összefoglal	zusammenfassen
hiányzik	fehlen
ünnepel	feiern
filmez	filmen
talál	finden
zajlik, van	stattfinden
repül	fliegen
szökik, menekül	fliehen
menekül, szökik	flüchten
fényképez	fotografieren
kérdez	fragen
kérdezősködik	nachfragen
örül	sich freuen
reggelizik	frühstücken
érzi magát	sich fühlen
jól érzi magát	sich wohlfühlen
kitölt	ausfüllen
etet	füttern
biztosít	garantieren
szül	gebären
tetszik	gefallen
vmi valakié	gehören
szórakozni megy	ausgehen
sétál	spazieren gehen
gyalogol	zu Fuß gehen
élvez	genießen
alakít, formál	gestalten
nyer	gewinnen
győz	gewinnen
hozzászokik	sich gewöhnen
bead, betáplál	eingeben
önt	gießen
hisz	glauben
üdvözöl	grüßen
tart (átvitt értelemben is)	halten
szól v-ről	handeln
akaszt, rak, helyez	hängen
gyűlöl	hassen
birtokol	haben
joga van vhez	ein Recht haben
szabad(ideje van)	frei haben
jó hangulata van	gute Laune haben
házasodik	heiraten
hív	heißen
segít	helfen
betesz, beilleszt	hineinlegen
elmegy érte és elhoz	holen
elhoz v-t, elmegy v-ért	abholen
hallgat	hören
érdekel	interessieren
érdeklődik	sich interessieren
irritál	irritieren
eszik	essen
vacsorázik	zu Abend essen
van	sein
kész v-re	bereit sein
születik	geboren sein
dolgozik	jobben
kocog	joggen
-hat/het, tud	können
kiismeri magát	sich auskennen
vásárol	kaufen
bevásárol	einkaufen
ismer	kennen
ismerik egymást	sich kennen
mászik	klettern
főz	kochen
jön	kommen
megérkezik	ankommen
kijön vkivel	auskommen
vele jön	mitkommen
közel kerül v-hez (átvitt is)	nahekommen
másol	kopieren
kerül vmibe	kosten
csókol	küssen
nevet	lachen
meghív	einladen
feltölt	hochladen
fut, szalad	laufen
él	leben
fektet, rak, helyez	legen
lefekszik	sich legen
kölcsönöz (ad, vesz)	leihen
vezet, irányít	leiten
megismer v-t	kennenlernen
megismerkedik v-vel	sich kennenlernen
szeret (embert)	lieben
fekszik	liegen
olvas	lesen
töröl	löschen
csinál	machen
be-, felkapcsol	anmachen
kinyit, felnyit	aufmachen
megegyezik, kikapcsol	ausmachen
megegyezik	ausmachen
örömet szerez	jm eine Freude machen
jógázik	Yoga machen
bezár	zumachen
szeret, kedvel	mögen
fest	malen
menedzsel	managen
gondol, vél	meinen
jelentkezik	sich melden
bérel	mieten
kever	mischen
közöl akivel	mitteilen
ösztönöz	motivieren
kell, szükséges	müssen
nevez	nennen
idegesít	nerven
vesz(univerzális)	nehmen
tolerál, elfogad	annehmen
magával visz	mitnehmen
jegyzetel	notieren
rendszerez, elrendez	ordnen
szervez	organisieren
tájékozódik	sich orientieren
kipakol	auspacken
történik	passieren
illik, passzol	passen
illeszkedik	passen
tervez	planen
felpróbál	anprobieren
provokál	provozieren
tanácsot ad	raten
dohányzik	rauchen
kitakarít	aufräumen
reagál	reagieren
újrahasznosít	recyceln
