[learnit]
[mode: verbs]
[delimiter: ;]

Lecke;Infinitiv;E/3;Präteritum;Perfekt;Jelentés;Egyéb
1;heißen;heißt;hieß;hat geheißen;hív;
1;schreiben;schreibt;schrieb;hat geschrieben;ír;
1;sein;ist;war;ist gewesen;van;
2;auskommen;kommt aus;kam aus;ist ausgekommen;kijön vkivel;
2;fotografieren;fotografiert;fotografierte;hat fotografiert;fényképez;
2;hören;hört;hörte;hat gehört;hallgat;
2;kosten;kostet;kostete;hat gekostet;kerül vmibe;
2;lachen;lacht;lachte;hat gelacht;nevet;
2;machen;macht;machte;hat gemacht;csinál;
2;reisen;reist;reiste;ist gereist;utazik;
2;schwimmen;schwimmt;schwamm;ist/hat geschwommen;úszik;
2;spazieren gehen;geht spazieren;ging spazieren;ist spazieren gegangen;sétál;
2;spielen;spielt;spielte;hat gespielt;játszik;
2;tanzen;tanzt;tanzte;hat getanzt;táncol;
2;telefonieren;telefoniert;telefonierte;hat telefoniert;telefonál;
2;wohnen;wohnt;wohnte;hat gewohnt;lakik;
3;bestellen;bestellt;bestellte;hat bestellt;rendel;
3;bezahlen;bezahlt;bezahlte;hat bezahlt;kifizet;
3;essen;isst;aß;hat gegessen;eszik;
3;finden;findet;fand;hat gefunden;talál;
3;haben;hat;hatte;hat gehabt;birtokol;
3;mögen;mag;mochte;hat gemocht;szeret, kedvel;
3;nehmen;nimmt;nahm;hat genommen;vesz(univerzális);
3;schmecken;schmeckt;schmeckte;hat geschmeckt;ízlik;
3;suchen;sucht;suchte;hat gesucht;keres;
3;trinken;trinkt;trank;hat getrunken;iszik;
4;Auto fahren;fährt Auto;fuhr Auto;ist Auto gefahren;autóval utazik, megy;de: er hat das Auto gefahren (autót vezet)
4;anfangen;fängt an;fing an;hat angefangen;elkezd;
4;ankommen;kommt an;kam an;ist angekommen;megérkezik;
4;anrufen;ruft an;rief an;hat angerufen;felhív;
4;aufstehen;steht auf;stand auf;ist aufgestanden;felkel;
4;aufwachen;wacht auf;wachte auf;ist aufgewacht;felébred;
4;auspacken;packt aus;packte aus;hat ausgepackt;kipakol;
4;einkaufen;kauft ein;kaufte ein;hat eingekauft;bevásárol;
4;fernsehen;sieht fern;sah fern;hat ferngesehen;tv-t néz;
4;frei haben;hat frei;hatte frei;hat freigehabt;szabad(ideje van);
4;jobben;jobbt;jobbte;hat gejobbt;dolgozik;
4;kommen;kommt;kam;ist gekommen;jön;
4;küssen;küsst;küsste;hat geküsst;csókol;
4;lesen;liest;las;hat gelesen;olvas;
4;losfahren;fährt los;fuhr los;ist losgefahren;elindul;
4;müssen;muss;musste;hat gemusst;kell, szükséges;
4;scheinen;scheint;schien;hat geschienen;süt (a nap);
4;schlafen;schläft;schlief;hat geschlafen;alszik;
4;sehen;sieht;sah;hat gesehen;lát;
4;studieren;studiert;studierte;hat studiert;tanul (felsőoktatásban);
4;wegwerfen;wirft weg;warf weg;hat weggeworfen;eldob;
4;wollen;will;wollte;hat gewollt;akar;
5;anschauen;schaut an;schaute an;hat angeschaut;megnéz;
5;bleiben;bleibt;blieb;ist geblieben;marad;
5;denken;denkt;dachte;hat gedacht;gondol;
5;fliegen;fliegt;flog;ist geflogen;repül;
5;gewinnen;gewinnt;gewann;hat gewonnen;nyer;
5;heiraten;heiratet;heiratete;hat geheiratet;házasodik;
5;kennen;kennt;kannte;hat gekannt;ismer;
5;können;kann;konnte;hat gekonnt;-hat/het, tud;
5;leben;lebt;lebte;hat gelebt;él;
5;lieben;liebt;liebte;hat geliebt;szeret (embert);
5;schreien;schreit;schrie;hat geschrien;kiabál;
5;singen;singt;sang;hat gesungen;énekel;
5;surfen;surft;surfte;ist gesurft;szörföz;
5;verkaufen;verkauft;verkaufte;hat verkauft;elad;
5;verstehen;versteht;verstand;hat verstanden;megért;
5;wünschen;wünscht;wünschte;hat gewünscht;kíván;
6;ausgehen;geht aus;ging aus;ist ausgegangen;szórakozni megy;
6;besuchen;besucht;besuchte;hat besucht;meglátogat;
6;chillen;chillt;chillte;hat gechillt;pihen, lazít;
6;entschuldigen;entschuldigt;entschuldigte;hat entschuldigt;megbocsát;
6;erleben;erlebt;erlebte;hat erlebt;megél, átél;
6;frühstücken;frühstückt;frühstückte;hat gefrühstückt;reggelizik;
6;genießen;genießt;genoss;hat genossen;élvez;
6;glauben;glaubt;glaubte;hat geglaubt;hisz;
6;holen;holt;holte;hat geholt;elmegy érte és elhoz;
6;kaufen;kauft;kaufte;hat gekauft;vásárol;
6;liegen;liegt;lag;hat gelegen;fekszik;
6;sagen;sagt;sagte;hat gesagt;mond;
6;sitzen;sitzt;saß;hat gesessen;ül;
6;starten;startet;startete;ist/hat gestartet;elkezd/kezdődik;
6;stehen;steht;stand;hat gestanden;áll;
